4.187	4.545	3.056	3.216	4.406	3.118	1.106	3.007	3.119	5.285	3.401	3.114	3.621	2.386	4.071	3.243	4.541	2.45	3.223	2.418
4.14	4.349	3.22	3.576	4.753	3.999	1.163	3.311	3.334	5.169	3.453	3.27	3.765	2.384	4.035	2.834	4.565	2.704	3.38	1.794
4.397	4.225	3.298	2.721	4.462	3.906	1.078	2.523	3.291	4.974	3.359	3.087	3.663	2.797	3.945	3.045	4.531	2.405	3.151	2.288
4.288	3.904	3.627	2.6	4.001	4.124	0.993	2.344	3.053	4.529	3.993	3.481	4.007	2.622	4.305	2.926	4.459	0.792	3.602	1.898
4.118	4.075	3.628	2.248	3.706	3.967	1.155	2.1	2.6	4.319	3.558	3.339	3.978	2.544	4.147	2.884	4.274	1.373	3.136	1.734
4.005	4.317	3.226	2.811	4.955	3.682	1.191	2.689	3.175	5.055	3.196	3.332	4.029	2.846	3.6	3.366	4.648	3.836	2.928	2.223
3.562	3.329	2.962	2.388	4.007	3.871	1.295	2.535	2.861	3.866	3.464	3.417	3.607	2.472	3.511	2.831	4.573	3.588	3.281	1.992
3.422	3.403	3.408	2.419	4.349	3.553	1.132	2.345	2.837	4.53	3.592	3.666	3.163	2.613	3.631	2.929	3.713	3.59	3.237	1.834
3.309	3.351	3.391	1.124	3.029	2.707	1.067	1.087	1.772	3.004	3.739	3.54	3.679	2.746	3.484	2.648	3.499	2.893	3.481	1.835
3.374	3.331	2.857	0.683	4.68	3.234	0.909	5.293	5.532	4.329	3.714	3.048	3.048	3.23	3.371	3.469	4.548	3.887	3.187	2.609
3.362	2.998	3.07	0.695	3.725	3.124	1.194	0.835	3.429	3.274	3.558	3.349	3.736	2.467	3.288	2.794	3.8	3.604	3.279	2.07
3.504	2.947	3.327	0.286	4.023	2.841	0.671	4.504	4.574	3.803	4.083	3.867	3.662	3.557	3.584	3.396	4.105	3.329	3.642	2.151
2.74	3.481	3.081	3.954	4.963	3.131	0.537	5.553	5.29	4.482	3.512	3.658	3.382	3.816	3.219	3.65	4.209	3.483	3.51	2.565
2.693	3.124	2.44	3.699	3.571	2.973	0.806	4.571	4.285	3.682	3.392	3.231	2.949	2.874	3.353	2.873	3.196	3.158	2.922	1.964
3.784	3.334	2.834	1.151	4.334	2.675	0.646	4.606	4.673	4.189	3.158	3.322	2.778	3.58	3.198	3.41	4.04	3.514	3.122	2.175
2.827	3.232	2.385	2.971	4.461	2.919	0.57	5.377	4.954	4.086	3.115	3.087	2.997	3.307	3.178	3.199	4.206	3.43	2.996	2.29
2.728	3.253	2.991	4.068	3.744	2.66	0.507	4.894	4.8	3.375	3.756	3.815	3.387	3.012	3.625	3.05	3.372	3.676	3.459	1.984
